818
16	16
   CSTRESS_1    CSTRESS_2    CSTRESS_3    CSTRESS_4    CSTRESS_5    CSTRESS_6    CSTRESS_7    CSTRESS_8    CSTRESS_9   CSTRESS_10   CSTRESS_11   CSTRESS_12   CSTRESS_13   CSTRESS_14   CSTRESS_15   CSTRESS_16 
   70.440163    67.866318    64.325104    60.270252    68.090279    64.564941    60.540543    54.885204    61.063129    56.164299    46.953186    34.161003    56.565277    47.935856    35.251389    22.004812
   46.947712    37.529568    26.173613    12.855182    38.893799    27.405136    14.138927     7.303400    16.685959     7.642532     6.053742     4.006547     8.160192     6.223754     4.188319     2.081286
   14.264237     4.758764     2.928944     0.792949     4.990518     3.133551     1.000562     0.000000     1.415374     0.017658     0.000000     0.000000     0.092115     0.000000     0.000000     0.000000
    1.354539     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
   83.146576    82.556152    81.506813    80.155090    82.436562    81.426689    80.131645    77.571297    80.021912    77.844002    74.047508    69.232269    77.913185    74.277031    69.516609    63.678425
   67.434563    64.222908    60.032013    55.290119    64.464134    60.338802    55.709541    47.682785    56.425480    49.485310    37.688637    24.084707    50.188530    38.787956    25.267696    17.254307
   44.735104    34.174526    21.078415     8.391757    35.333477    22.374537     8.910115     6.176617    11.128169     6.491231     4.597688     2.438817     6.617908     4.782400     2.630883     1.434602
   11.007323     4.281035     2.178394     0.169960     4.476790     2.390614     0.243996     0.000000     0.595131     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
    0.853387     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
  123.173210   127.148384   130.839035   134.630615   126.342964   130.052719   133.845627   137.657150   132.267349   136.110031   139.620514   142.645035   135.319443   138.896515   141.955399   144.911407
    0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
    0.655705     0.000000     0.000000     0.000000     0.022451     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
   11.115897     6.218870     4.539380     2.782958     6.483640     4.704945     2.950977     1.041723     3.287161     1.450088     0.037063     0.000000     1.627272     0.092421     0.000000     0.000000
   55.694660    49.524040    39.467743    28.897615    50.238285    40.400967    29.866152    18.312777    31.793198    20.738808    11.857468    10.301979    21.774523    12.226604    10.407015     8.951900
   93.355209    93.402557    92.454628    91.397659    93.167992    92.280678    91.237831    89.817841    90.909203    89.712654    86.599945    78.855797    89.574539    86.727524    79.356140    70.875359
  115.070610   118.138893   120.945877   123.814857   117.463051   120.286690   123.158745   125.973373   121.838501   124.713051   126.911163   127.831108   124.057365   126.375435   127.384087   128.100220
    0.911147     0.000000     0.000000     0.000000     0.053790     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
   12.751467     6.501629     4.859934     3.145442     6.873206     5.020938     3.308564     1.470239     3.635256     1.851132     0.230050     0.000000     2.022024     0.280804     0.000000     0.000000
   56.217487    50.934715    41.129986    30.840778    51.176643    42.031174    31.774481    20.694077    33.634201    22.934883    12.908330    10.466452    23.926104    13.243468    10.565543     9.174918
   91.867142    92.232765    91.430199    90.539284    91.902855    91.239235    90.360161    89.233521    89.994888    89.021736    86.401993    80.109070    88.856796    86.483864    80.569183    72.494972
  116.296906   119.468964   122.338318   125.278862   118.772469   121.663849   124.606400   127.545670   123.254402   126.231285   128.650818   129.815857   125.555237   128.085678   129.352127   130.148178
   92.231148    93.090752    93.185539    93.231476    92.780609    92.933052    92.991730    92.900330    92.492584    92.483910    91.833229    89.846428    92.246178    91.706650    89.826416    87.456787
